id,name,city,video,time_of_day,start_time,end_time
278,Sevastopol1,Sevastopol,qiPbnvqdw_g,0,18,2480
278,Sevastopol2,Sevastopol,5XufbB1qXxk,0,52,2218
278,Sevastopol3,Sevastopol,zZ3fIf_RlVs,0,54,1639
278,Sevastopol6,Sevastopol,dAR_B70nhdM,0,0,1082
278,Sevastopol7,Sevastopol,bB7Y-S-uoiY,0,22,123
279,Bila Tserkva2,Bila Tserkva,9JRkkIIY6N0,0,41,1733
280,Chernivtsi2,Chernivtsi,HIHqj8bo7Vk,0,1,1580
280,Chernivtsi4,Chernivtsi,QBFDcBNa24M,0,0,394
280,Chernivtsi6,Chernivtsi,YSJXf6_sG8A,0,88,880
280,Chernivtsi7,Chernivtsi,Ki9uIxKfSkI,0,37,1049
281,Dnipro1,Dnipro,utGFyklNlpc,0,1,1423
282,Vasylkiv2,Vasylkiv,m-2sDPZgYcQ,0,40,1475
283,Kharkiv3,Kharkiv,PbEWojNwTKQ,0,1,269
283,Kharkiv4,Kharkiv,DGdOwXUMZkI,0,42,3041
283,Kharkiv6,Kharkiv,jM1vAd5P7tI,0,30,1125
283,Kharkiv7,Kharkiv,Hl_FqPkdgrk,0,75,1271
283,Kharkiv8,Kharkiv,W7l3cvqIqgk,0,7,336
283,Kharkiv9,Kharkiv,BD2utytCbdI,0,37,1022
283,Kharkiv10,Kharkiv,50QZcROGlmw,0,38,1230
283,Kharkiv11,Kharkiv,MC8Gy1ks8Ss,0,10,749
283,Kharkiv12,Kharkiv,sNUx2qd77b8,0,8,1170
283,Kharkiv13,Kharkiv,d0BTj28YbzI,0,12,1380
284,Khmelnytskyi1,Khmelnytskyi,de_W6Z1PAc0,0,1,596
285,Odesa1,Odesa,JILxTxsN49k,0,1,2172
285,Odesa2,Odesa,4-rATfYiM_U,0,1,335
285,Odesa3,Odesa,Q1PXRzSdnLY,0,1,1482
285,Odesa4,Odesa,7SP-LC_3wLM,1,1,1186
285,Odesa5,Odesa,xwEr1VjYgvA,0,83,2514
285,Odesa6,Odesa,T9Ils0VcJNk,0,21,1065
285,Odesa7,Odesa,fnGVToLh6DM,0,1,2284
285,Odesa9,Odesa,NdwdMVJshq8,0,45,520
286,Uzhhorod1,Uzhhorod,sPBEtLGzDn0,0,1,3177
286,Uzhhorod2,Uzhhorod,PZet2exZqmQ,0,40,573
286,Uzhhorod3,Uzhhorod,sauq_sOJ27E,0,64,229
286,Uzhhorod4,Uzhhorod,WpPvobJyInk,0,71,238
286,Uzhhorod5,Uzhhorod,6W4nWuJyFjo,0,68,380
286,Uzhhorod6,Uzhhorod,O0SgCIA-cpg,0,46,275
287,Mykolaiv1,Mykolaiv,A0fWs5Y0g08,0,1,1200
287,Mykolaiv2,Mykolaiv,iwJLDaKc2rU,0,52,632
287,Mykolaiv3,Mykolaiv,mqYma0Zvyqg,0,2,2133
287,Mykolaiv4,Mykolaiv,M6MrfTIEgYI,0,1,1419
287,Mykolaiv5,Mykolaiv,pE1PMRVohcs,0,1,237
287,Mykolaiv7,Mykolaiv,QhEBA_K7h64,1,8,409
287,Mykolaiv8,Mykolaiv,qUfQsSZ5OgQ,0,4,366
287,Mykolaiv10,Mykolaiv,c5JGozDUBTU,0,1,1776
287,Mykolaiv12,Mykolaiv,iJfXD_Dj7LU,0,16,157
287,Mykolaiv13,Mykolaiv,BEmaMzZUfj4,0,24,924
288,Zhytomyr1,Zhytomyr,Kv_e8WOUTCg,0,1,677
290,Zaporizhzhia1,Zaporizhzhia,A4cL3vNWCJY,0,20,1333
290,Zaporizhzhia3,Zaporizhzhia,JdkJd2F-o9k,0,1,946
291,Vinnytsia1,Vinnytsia,3Xn3KdRIUnc,0,1,695
291,Vinnytsia2,Vinnytsia,BRxAi1rP-fY,0,46,1010
292,Ternopil2,Ternopil,lJBuNM3MQNE,0,13,1164
293,Ivano-Frankivsk3,Ivano-Frankivsk,ohzl9Vcdyl0,0,3,1084
293,Ivano-Frankivsk4,Ivano-Frankivsk,Qjgg0cmHLXc,0,1,1151
294,Luhansk1,Luhansk,wB_FT9f41eA,0,1,1595
294,Luhansk2,Luhansk,sa92g5gsZ6g,0,33,2835
294,Luhansk3,Luhansk,7aNG5qfBa9A,0,35,1640
294,Luhansk4,Luhansk,Z13FBYUEQE4,0,33,4048
294,Luhansk5,Luhansk,o3PPBjW5aE0,0,35,4846
294,Luhansk6,Luhansk,GYrRiU7___Q,0,42,3318
294,Luhansk7,Luhansk,1FjHtAo1_Hw,0,35,3455
295,Melitopol1,Melitopol,3mOYZXTIvjM,0,1,1366
296,Mariupol1,Mariupol,IpHo3dvUdYc,0,1,400
296,Mariupol3,Mariupol,WdIBlQCTXjw,0,0,2391
300,Kherson3,Kherson,WGjo8VncGqQ,0,71,210
301,Poltava3,Poltava,xkAtt7yFRC0,0,29,1410
301,Poltava4,Poltava,19DZWMxzwzo,0,21,258
304,Simferopol1,Simferopol,524HhzbbYtc,0,1,223
304,Simferopol2,Simferopol,mO2DumKKNKs,0,15,660
304,Simferopol4,Simferopol,hmiz2EKzQ0s,0,25,1120
304,Simferopol5,Simferopol,pyKi8mE-l2Y,0,44,366
304,Simferopol6,Simferopol,-iyH4imJCt4,0,80,727
304,Simferopol7,Simferopol,r7z9LGtXRl0,0,0,540
304,Simferopol8,Simferopol,iSLzFlvUhS4,0,0,97
304,Simferopol9,Simferopol,uftgGhLe2i0,0,0,750
304,Simferopol10,Simferopol,BzUso6OzP7c,0,0,1098
304,Simferopol11,Simferopol,qhqSp0S9CXI,0,0,798
306,Sumy1,Sumy,hri7Nh5lDfM,0,60,330
307,Chernihiv1,Chernihiv,GdBblodlKkk,0,1,309
307,Chernihiv2,Chernihiv,U2hANQA6yLY,0,55,571
307,Chernihiv3,Chernihiv,CL_fWBcGsKM,0,1,697
307,Chernihiv5,Chernihiv,41y9_mJ1MqY,0,100,964
310,Lutsk1,Lutsk,Xs7oGHqTYis,0,95,1378
311,Kryvyi Rih1,Kryvyi Rih,5E7l734ku-8,0,20,1021
313,Kremenchuk1,Kremenchuk,APLYNtBA5LE,0,66,1215
313,Kremenchuk2,Kremenchuk,boXXg_QC1oY,0,1,702
315,Cherkasy1,Cherkasy,pbSxYRwJt8U,0,95,1669
316,Kropyvnytskyi1,Kropyvnytskyi,1Fc_Tcjl6s0,0,31,785
319,Sarny1,Sarny,s0q6hntdvqs,0,24,1179
321,Konotop2,Konotop,ij-urgZpaQc,0,25,141
322,Uman1,Uman,1Hac2cVkMCE,0,79,407
324,Voronezh1,Voronezh,ARg7YuS9Smc,0,1,1564
324,Voronezh2,Voronezh,XVKC8sZO7Bo,0,76,1020
324,Voronezh4,Voronezh,OPdoFJZr-Yc,0,38,325
324,Voronezh5,Voronezh,q-jrTHcWfWk,0,23,2033
324,Voronezh6,Voronezh,i0A33YOpm5U,0,39,863
325,Krasnodar1,Krasnodar,KuUMduPeP4U,0,6,985
325,Krasnodar2,Krasnodar,N5p-W_q8Qiw,0,17,692
325,Krasnodar3,Krasnodar,SCsa2re4Q5s,0,35,1083
326,Yekaterinburg1,Yekaterinburg,CArayrfolE8,0,60,1437
