id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
586,Kingston,Kingston,XeA0ZTmX6i8,0,80,123,,
587,Ocho Rios,Ocho Rios,55-rBgI1MUA,0,40,485,,
589,Montego Bay,Montego Bay,LX-MWknZnZc,1,5,3488,,
590,Spanish Town,Spanish Town,cGLbNBqcRgY,0,15,1101,,
595,Port-au-Prince,Port-au-Prince,ySkoRAbT70U,0,82,2290,,
596,San Juan,San Juan,HJSa0WeXTMk,0,37,843,,
597,Carolina,Carolina,fHKSXeYg9g4,1,0,754,,
598,Isabela,Isabela,aJ3eOJBzwHo,0,26,868,,
602,Caguas,Caguas,FZ7UJ_Gmm6k,0,0,2711,,
603,Princes Town,Princes Town,u07o5uniPqg,0,0,112,,
604,Petit Valley,Petit Valley,E9CzlKpiEoU,0,56,693,,
608,Victoria,Victoria,X4EuhO0PyRY,0,51,228,,
609,Roseau,Roseau,stMbkRFQidI,0,0,504,,
610,Huancayo,Huancayo,Yg3u3pRs4zo,0,21,2440,,
619,Bridgetown,Bridgetown,VlciVJuF9Bw,0,26,836,,
622,Hamilton,Hamilton,Di61A7comPI,0,18,1557,,
626,Nassau,Nassau,ggeWCex3Y8Y,0,0,1650,,
633,Charlestown,Charlestown,eHLoSvcpTcA,0,0,491,,
634,Basseterre,Basseterre,8ES3aEcEDdQ,0,8,392,,
636,St. John's,St. John's,htItY1_KKgc,0,12,390,,
637,Sea view Farm,Sea view Farm,hyRTk8aESTs,0,3,911,,
640,Thimphu,Thimphu,0huxbfJBSRA,0,0,363,,
641,Nouméa,Nouméa,mpd_eZG5CBE,0,0,358,,
642,Port Louis,Port Louis,wPfatZjpiOI,0,30,806,,
646,Vacoas-Phoenix,Vacoas-Phoenix,1lz2v4wcCxo,0,45,539,,
647,Grand Baie,Grand Baie,_V4xAzANdjE,0,72,1011,,
653,Willemstad,Willemstad,eyVN6fypLyU,0,0,62,,
654,Pyongyang,Pyongyang,nQ_R9hhHB5A,0,82,3872,,
655,Malé,Malé,3IPkNOBCm1M,0,5,299,,
658,Les Anses-d'Arlet,Les Anses-d'Arlet,3Xc86Pu7zXA,0,30,247,,
661,Castries,Castries,RQ618y4Ato8,0,28,187,,
663,Babonneau,Babonneau,s3d-2VufeUM,0,30,275,,
667,Kingstown,Kingstown,9A2nqtmerIE,0,0,118,,
672,Vermont,Vermont,kErVZqYURs0,0,30,677,,
674,Brighton,Brighton,Gl07tLi8oSc,0,34,240,,
677,Sainte-Rose,Sainte-Rose,eKy0Kj-_PEk,0,32,759,,
