city,state,time,speed
Negril,,1,1.04
Petropavl,,1,3.61
Carolina,,1,0.89
Yevpatoria,,1,0.78
Charlestown,,1,1.49
Tui,,1,0.9
Moengo,,1,2.56
Aïn Benian,,1,3.38
Vilnius,,1,2.31
Anse Volbert,,1,1.13
Be'er Sheva,,1,2.93
Barre Denis,,1,1.4
Zeerust,,1,0.37
Żejtun,,1,1.48
Orsha,,1,2.54
