id,name,city,video,time_of_day,start_time,end_time
1492,Doha16,Doha,waqy2Q2jYVs,0,100,4934
1492,Doha17,Doha,7-KohtN-Oi8,0,0,1243
1492,Doha18,Doha,9iH4hJpcEXY,1,25,888
1492,Doha19,Doha,fdc6jUB-PsU,0,0,265
1492,Doha20,Doha,3LxRwbDtj5c,0,48,890
1492,Doha21,Doha,DAHf2hBea7I,0,18,1517
1492,Doha22,Doha,GccWgoXxccg,1,5,1881
1492,Doha24,Doha,Ke-2MdPat70,0,5,1578
1492,Doha25,Doha,7GSXlLtViDo,1,6,956
1492,Doha26,Doha,PUFE4sNaGJA,1,0,1623
1492,Doha27,Doha,Mq0NB09ra0Q,1,0,670
1492,Doha28,Doha,yNY6eg99GjA,0,25,300
1492,Doha29,Doha,TfCF9W9fDCw,0,5,798
1492,Doha30,Doha,iGBe6s60-og,0,0,372
1492,Doha31,Doha,tsgduOR1BJ0,0,15,324
1492,Doha32,Doha,vhxRq8VehTQ,0,0,3250
1492,Doha33,Doha,EuPUdjUd008,0,5,2713
1492,Doha34,Doha,IyVrBKVNO3k,0,2,895
1492,Doha35,Doha,U38Hr5Nbg18,0,17,490
1492,Doha36,Doha,UN3IBQPbAL4,0,5,360
1492,Doha37,Doha,cZfPYyq04rc,1,0,1414
1492,Doha38,Doha,hHVMFv49uss,0,5,1162
1492,Doha39,Doha,G1Qd6RebiN8,0,5,1918
1492,Doha40,Doha,WHDHN8cwlEU,1,20,1218
1492,Doha41,Doha,hK9XnWMiFIw,0,68,1703
1492,Doha42,Doha,-8IkGMltIDA,1,9,1472
1492,Doha43,Doha,FareynHBpcE,1,0,2397
1492,Doha44,Doha,hlCvMW15Too,0,71,3891
1492,Doha45,Doha,MLmjcpHZm9Y,0,34,397
1492,Doha46,Doha,tiEGDY3iOx4,1,6,2600
1492,Doha47,Doha,PQEVe4sDjuM,1,73,505
1492,Doha48,Doha,C6jvP3PTW7I,0,100,1548
1492,Doha49,Doha,XAnSkV3Jfuo,0,0,1670
1492,Doha51,Doha,7LPRvGjiRwk,0,52,1870
1492,Doha52,Doha,lHqXfPssw9c,0,42,1022
1492,Doha53,Doha,WkXVceE_Tc0,1,0,2347
1492,Doha55,Doha,StEYxWcOUDE,1,41,1540
1492,Doha56,Doha,mb95pMlj53M,0,80,1854
1492,Doha57,Doha,g-ODsnca1ig,0,0,2471
1492,Doha58,Doha,Ol3xaD7TQd4,0,69,1043
1492,Doha60,Doha,O9zR_K9AI18,0,0,2746
1492,Doha62,Doha,QClWUViErAM,0,16,891
1492,Doha63,Doha,4N6kYV08KaY,0,82,1215
1492,Doha65,Doha,gYr0LBiIbv4,0,73,538
1493,Charleston1,Charleston,6E4nF-jZ8uM,0,42,3670
1493,Charleston2,Charleston,MD7U0Wgg7-8,0,39,768
1493,Charleston5,Charleston,ae0op7pARYE,0,10,3423
1493,Charleston6,Charleston,yeAJ76VEMDk,0,0,2393
1494,Santa Cruz3,Santa Cruz,EVkt_5s7uMo,0,8,944
1494,Santa Cruz4,Santa Cruz,qW7DcJZa_N0,0,8,537
1494,Santa Cruz5,Santa Cruz,Wm2DKndjEHc,0,0,997
1495,Napa3,Napa,fZqP89ro0ro,0,22,427
1497,Charlotte2,Charlotte,9d_NEyixBYQ,0,11,2660
1497,Charlotte3,Charlotte,NLuJ5_7-d_A,0,0,2230
1500,Vail3,Vail,ZKEJ39YRVR8,0,5,1143
1501,Detroit1,Detroit,sv8WNIh-_w8,0,70,3578
1501,Detroit2,Detroit,jhfGDbwL5MM,0,64,1830
1501,Detroit3,Detroit,PXqxzSgdyzU,0,0,2136
